array_type,size,algorithm,kind,time_ms,char_ops
reverse,600,StandardMergeSort,standard,0.102284,4887
reverse,600,StringQuickSort,specialized,0.013161,4855
reverse,600,StringMergeSort,specialized,0.128048,2350
reverse,600,MsdRadixSort,specialized,0.043517,1432
reverse,600,MsdRadixQuickSort,specialized,0.030649,3267
reverse,700,StandardQuickSort,standard,0.022819,9183
reverse,700,StandardMergeSort,standard,0.136896,5820
reverse,700,StringQuickSort,specialized,0.016434,5906
reverse,700,StringMergeSort,specialized,0.172025,2739
reverse,700,MsdRadixSort,specialized,0.048743,1580
reverse,700,MsdRadixQuickSort,specialized,0.035332,3821
reverse,800,StandardQuickSort,standard,0.026798,10669
reverse,800,StandardMergeSort,standard,0.175683,6705
reverse,800,StringQuickSort,specialized,0.020026,6954
reverse,800,StringMergeSort,specialized,0.191936,3147
reverse,800,MsdRadixSort,specialized,0.065720,1805
reverse,800,MsdRadixQuickSort,specialized,0.045822,4344
reverse,900,StandardQuickSort,standard,0.030900,12111
reverse,900,StandardMergeSort,standard,0.189119,7468
reverse,900,StringQuickSort,specialized,0.020166,7840
reverse,900,StringMergeSort,specialized,0.214744,3473
reverse,900,MsdRadixSort,specialized,0.067594,2040
reverse,900,MsdRadixQuickSort,specialized,0.049221,4886
reverse,1000,StandardQuickSort,standard,0.036610,13424
reverse,1000,StandardMergeSort,standard,0.209840,8168
reverse,1000,StringQuickSort,specialized,0.024432,8828
reverse,1000,StringMergeSort,specialized,0.258298,3793
reverse,1000,MsdRadixSort,specialized,0.067659,2256
reverse,1000,MsdRadixQuickSort,specialized,0.057219,5433
reverse,1100,StandardQuickSort,standard,0.041482,14813
reverse,1100,StandardMergeSort,standard,0.230735,9247
reverse,1100,StringQuickSort,specialized,0.028495,10018
reverse,1100,StringMergeSort,specialized,0.273011,4238
reverse,1100,MsdRadixSort,specialized,0.129341,2579
reverse,1100,MsdRadixQuickSort,specialized,0.059613,5966
reverse,1200,StandardQuickSort,standard,0.052696,16228
reverse,1200,StandardMergeSort,standard,0.261360,10450
reverse,1200,StringQuickSort,specialized,0.034626,10925
reverse,1200,StringMergeSort,specialized,0.309957,4824
reverse,1200,MsdRadixSort,specialized,0.083866,2695
reverse,1200,MsdRadixQuickSort,specialized,0.072108,6516
reverse,1300,StandardQuickSort,standard,0.057422,17882
reverse,1300,StandardMergeSort,standard,0.276378,11328
reverse,1300,StringQuickSort,specialized,0.034289,11935
reverse,1300,StringMergeSort,specialized,0.352828,5105
reverse,1300,MsdRadixSort,specialized,0.086451,3002
reverse,1300,MsdRadixQuickSort,specialized,0.076267,7058
reverse,1400,StandardQuickSort,standard,0.067683,19663
reverse,1400,StandardMergeSort,standard,0.335131,12363
reverse,1400,StringQuickSort,specialized,0.038089,13075
reverse,1400,StringMergeSort,specialized,0.362431,5588
reverse,1400,MsdRadixSort,specialized,0.103131,3151
reverse,1400,MsdRadixQuickSort,specialized,0.073573,7583
reverse,1500,StandardQuickSort,standard,0.059897,21131
reverse,1500,StandardMergeSort,standard,0.340929,13265
reverse,1500,StringQuickSort,specialized,0.039503,14038
reverse,1500,StringMergeSort,specialized,0.410834,5988
reverse,1500,MsdRadixSort,specialized,0.103379,3372
reverse,1500,MsdRadixQuickSort,specialized,0.091032,8118
reverse,1600,StandardQuickSort,standard,0.059654,22932
reverse,1600,StandardMergeSort,standard,0.363744,14211
